#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180518-090830.408;20180518-090830.000;37.78722000;-122.40773680;3.0;330.6;233.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090830.911;20180518-090830.000;37.78722000;-122.40773680;3.0;330.6;230.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090831.413;20180518-090831.000;37.78722350;-122.40772250;3.0;308.1;233.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090831.921;20180518-090831.000;37.78722350;-122.40772250;3.0;308.1;240.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090832.419;20180518-090832.000;37.78722730;-122.40770820;3.0;294.6;234.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090832.925;20180518-090832.000;37.78722730;-122.40770820;3.0;294.6;232.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090833.429;20180518-090833.000;37.78723000;-122.40769200;3.0;284.7;231.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090833.932;20180518-090833.000;37.78723000;-122.40769200;3.0;284.7;226.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090834.434;20180518-090834.000;37.78723000;-122.40767490;4.0;276.5;217.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090834.937;20180518-090834.000;37.78723000;-122.40767490;4.0;276.5;226.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090835.443;20180518-090835.000;37.78723000;-122.40765580;3.0;273.1;229.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090835.947;20180518-090835.000;37.78723000;-122.40765580;3.0;273.1;223.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090836.450;20180518-090836.000;37.78723000;-122.40763770;3.0;271.0;221.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090836.952;20180518-090836.000;37.78723000;-122.40763770;3.0;271.0;226.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090837.456;20180518-090837.000;37.78723000;-122.40762000;3.0;270.0;221.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090837.959;20180518-090837.000;37.78723000;-122.40762000;3.0;270.0;215.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090838.461;20180518-090838.000;37.78722350;-122.40760000;3.0;261.8;216.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090838.968;20180518-090838.000;37.78722350;-122.40760000;3.0;261.8;208.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090839.472;20180518-090839.000;37.78722000;-122.40758710;3.0;258.1;211.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090839.973;20180518-090839.000;37.78722000;-122.40758710;3.0;258.1;212.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090840.477;20180518-090840.000;37.78721210;-122.40757570;3.0;247.0;217.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090840.980;20180518-090840.000;37.78721210;-122.40757570;3.0;247.0;210.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090841.485;20180518-090841.000;37.78720000;-122.40756800;3.0;229.9;209.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090841.988;20180518-090841.000;37.78720000;-122.40756800;3.0;229.9;208.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090842.491;20180518-090842.000;37.78719300;-122.40756140;3.0;229.9;213.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090842.994;20180518-090842.000;37.78719300;-122.40756140;3.0;229.9;213.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090843.498;20180518-090843.000;37.78718540;-122.40755180;3.0;227.6;210.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090844.003;20180518-090843.000;37.78718540;-122.40755180;3.0;227.6;211.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090844.507;20180518-090844.000;37.78717770;-122.40754520;3.0;227.6;204.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090845.009;20180518-090844.000;37.78717770;-122.40754520;3.0;227.6;206.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090845.512;20180518-090845.000;37.78717000;-122.40753660;3.0;224.6;209.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090846.015;20180518-090845.000;37.78717000;-122.40753660;3.0;224.6;209.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090846.519;20180518-090846.000;37.78716250;-122.40752610;3.0;228.4;211.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
