#location service enabled;location service initializing;location updated;heading updated;location provider;location provider class;UTC device;UTC location;lat;lng;accuracy[m];user heading[°];device orientation[°];speed;has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.057;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;328.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.091;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;334.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.125;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;327.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.157;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;322.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.191;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;320.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.226;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.258;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;341.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.292;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;334.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.326;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;274.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.359;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;278.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.393;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;320.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.427;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;302.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.464;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;309.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.493;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;312.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.527;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;314.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.560;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;326.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.594;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;328.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.629;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;331.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.661;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;322.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.695;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;327.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.728;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;330.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.761;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;334.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.795;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;330.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180516-102246.832;20180516-102237.000;48.35696000;15.61068530;3.0;14.8;328.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
