#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180521-212934.842;20180521-212935.000;37.78892000;-122.39845300;10.0;212.5;192.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212935.344;20180521-212935.000;37.78892000;-122.39845300;10.0;212.5;190.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212935.844;20180521-212936.000;37.78891000;-122.39846000;11.0;215.6;191.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212936.347;20180521-212936.000;37.78891000;-122.39846000;11.0;215.6;190.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212936.848;20180521-212937.000;37.78890610;-122.39846800;12.0;215.6;196.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212937.349;20180521-212937.000;37.78890610;-122.39846800;12.0;215.6;185.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212937.849;20180521-212938.000;37.78890610;-122.39847600;12.0;234.2;199.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212938.352;20180521-212938.000;37.78890610;-122.39847600;12.0;234.2;187.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180521-212938.851;20180521-212939.000;37.78890230;-122.39847600;13.0;234.2;190.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212939.353;20180521-212939.000;37.78890230;-122.39847600;13.0;234.2;185.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212939.853;20180521-212939.000;37.78890230;-122.39847600;13.0;234.2;185.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180521-212940.356;20180521-212939.000;37.78890230;-122.39847600;13.0;234.2;190.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
