#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180518-090807.745;20180518-090807.000;48.35722730;15.61059860;3.0;228.7;200.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090808.250;20180518-090808.000;48.35721590;15.61059760;3.0;206.7;201.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090808.751;20180518-090808.000;48.35721590;15.61059760;3.0;206.7;200.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090809.255;20180518-090809.000;48.35721000;15.61059950;3.0;206.7;209.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090809.758;20180518-090809.000;48.35721000;15.61059950;3.0;206.7;198.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090810.264;20180518-090810.000;48.35720000;15.61059950;3.0;189.5;195.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090810.766;20180518-090810.000;48.35720000;15.61059950;3.0;189.5;192.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090811.270;20180518-090811.000;48.35719000;15.61060240;3.0;176.1;191.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090811.772;20180518-090811.000;48.35719000;15.61060240;3.0;176.1;195.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090812.277;20180518-090812.000;48.35717770;15.61060810;3.0;163.6;188.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090812.780;20180518-090812.000;48.35717770;15.61060810;3.0;163.6;190.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090813.287;20180518-090813.000;48.35716630;15.61061380;3.0;157.6;191.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090813.789;20180518-090813.000;48.35716630;15.61061380;3.0;157.6;191.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090814.291;20180518-090814.000;48.35716000;15.61062150;3.0;157.6;185.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090814.796;20180518-090814.000;48.35716000;15.61062150;3.0;157.6;187.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090815.301;20180518-090815.000;48.35714720;15.61063480;3.0;145.2;183.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090815.805;20180518-090815.000;48.35714720;15.61063480;3.0;145.2;185.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090816.309;20180518-090816.000;48.35714340;15.61065100;3.0;124.9;185.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090816.810;20180518-090816.000;48.35714340;15.61065100;3.0;124.9;185.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090817.314;20180518-090817.000;48.35713580;15.61066720;3.0;118.6;192.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090817.819;20180518-090817.000;48.35713580;15.61066720;3.0;118.6;187.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090818.323;20180518-090818.000;48.35713580;15.61068150;3.0;103.4;187.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090818.827;20180518-090818.000;48.35713580;15.61068150;3.0;103.4;184.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090819.330;20180518-090819.000;48.35713580;15.61069390;3.0;103.4;191.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090819.833;20180518-090819.000;48.35713580;15.61069390;3.0;103.4;187.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090820.335;20180518-090820.000;48.35713580;15.61071000;3.0;95.5;189.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090820.836;20180518-090820.000;48.35713580;15.61071000;3.0;95.5;195.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090821.339;20180518-090821.000;48.35713580;15.61072640;3.0;92.6;185.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090821.843;20180518-090821.000;48.35713580;15.61072640;3.0;92.6;193.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090822.347;20180518-090822.000;48.35714000;15.61074160;3.0;83.0;188.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090822.853;20180518-090822.000;48.35714000;15.61074160;3.0;83.0;208.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090823.357;20180518-090823.000;48.35714720;15.61075000;3.0;67.3;256.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090823.860;20180518-090823.000;48.35714720;15.61075000;3.0;67.3;230.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090824.366;20180518-090824.000;48.35716000;15.61075500;3.0;45.0;227.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090824.874;20180518-090824.000;48.35716000;15.61075500;3.0;45.0;227.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090825.371;20180518-090825.000;48.35717000;15.61075500;3.0;185.5;229.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180518-090825.874;20180518-090825.000;48.35717000;15.61075500;3.0;185.5;215.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180518-090826.378;20180518-090826.000;48.35718000;15.61075310;3.0;266.9;216.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
