#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193004.471;20180614-193004.000;37.78582;-122.402473;32;260.2;248.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193004.971;20180614-193004.000;37.78582;-122.402473;32;260.2;243.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193005.471;20180614-193005.000;37.7858162;-122.402489;32;256.6;256.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193005.971;20180614-193005.000;37.7858162;-122.402489;32;256.6;247.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193006.471;20180614-193006.000;37.7858124;-122.402504;32;255.8;257.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193006.971;20180614-193006.000;37.7858124;-122.402504;32;255.8;244.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193007.472;20180614-193007.000;37.7858124;-122.402519;32;270;255;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193007.973;20180614-193007.000;37.7858124;-122.402519;32;270;240.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193008.472;20180614-193008.000;37.7858238;-122.402534;32;307.2;252.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193008.972;20180614-193008.000;37.7858238;-122.402534;32;307.2;248.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193009.473;20180614-193009.000;37.7858276;-122.402565;32;277;252.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193009.973;20180614-193009.000;37.7858276;-122.402565;32;277;251.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193010.474;20180614-193010.000;37.7858276;-122.402588;32;270;250.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193011.007;20180614-193010.000;37.7858276;-122.402588;32;270;248.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193011.507;20180614-193011.000;37.7858238;-122.4026;32;252.4;247.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193012.008;20180614-193011.000;37.7858238;-122.4026;32;252.4;247.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193012.508;20180614-193012.000;37.78582;-122.402618;32;258.1;246.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193013.008;20180614-193012.000;37.78582;-122.402618;32;258.1;255.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193013.508;20180614-193013.000;37.78581;-122.402634;32;238;249.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193014.008;20180614-193013.000;37.78581;-122.402634;32;238;261.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193014.510;20180614-193014.000;37.7858;-122.402657;32;246.5;250.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193015.009;20180614-193014.000;37.7858;-122.402657;32;246.5;260.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193015.509;20180614-193015.000;37.78579;-122.402679;32;245.6;246;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193016.009;20180614-193015.000;37.78579;-122.402679;32;245.6;255;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193016.510;20180614-193016.000;37.785778;-122.402687;32;213.7;244.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193017.010;20180614-193016.000;37.785778;-122.402687;32;213.7;253.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193017.510;20180614-193017.000;37.7857666;-122.4027;32;228.8;246.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193018.011;20180614-193017.000;37.7857666;-122.4027;32;228.8;251.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193018.511;20180614-193018.000;37.78576;-122.40271;32;236.6;248;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193019.011;20180614-193018.000;37.78576;-122.40271;32;236.6;250.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193019.511;20180614-193019.000;37.7856979;-122.402687;32;159.7;255.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193020.011;20180614-193019.000;37.7856979;-122.402687;32;159.7;248.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193020.512;20180614-193020.000;37.7856674;-122.402679;32;165.3;256.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193021.014;20180614-193020.000;37.7856674;-122.402679;32;165.3;243.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;TRUE;FALSE;;DeviceLocationProvider;20180614-193021.512;20180614-193021.000;37.78566;-122.402687;32;227.2;254.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
FALSE;FALSE;FALSE;FALSE;;DeviceLocationProvider;20180614-193022.012;20180614-193021.000;37.78566;-122.402687;32;227.2;240.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
