#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;heading smoothing strategy;orientation smoothing strategy
False;False;False;False;;DeviceLocationProvider;20180614-192934.888;20180614-192934.000;37.78640750;-122.40245800;12.0;102.5;248.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
False;False;False;False;;DeviceLocationProvider;20180614-192934.889;20180614-192934.000;37.78640750;-122.40245800;12.0;112.6;250.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
True;False;False;True;unity;DeviceLocationProvider;20180614-192934.889;20180614-192934.000;37.78640750;-122.40245800;12.0;102.5;251.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
False;False;True;False;;DeviceLocationProvider;20180614-192935.389;20180614-192935.000;37.78640750;-122.40245800;8.0;102.5;252.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
False;False;True;False;;DeviceLocationProvider;20180614-192935.390;20180614-192935.000;37.78640750;-122.40245800;8.0;102.5;251.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
True;False;True;True;unity;DeviceLocationProvider;20180614-192935.391;20180614-192935.000;37.78640750;-122.40245800;8.0;102.5;250.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
False;False;False;False;;DeviceLocationProvider;20180614-192935.889;20180614-192935.000;37.78640750;-122.40245800;8.0;102.5;255.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
False;False;False;False;;DeviceLocationProvider;20180614-192935.891;20180614-192935.000;37.78640750;-122.40245800;8.0;102.5;251.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
True;False;False;True;unity;DeviceLocationProvider;20180614-192935.893;20180614-192935.000;37.78640750;-122.40245800;8.0;102.5;251.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
False;False;True;False;;DeviceLocationProvider;20180614-192936.390;20180614-192936.000;37.78640370;-122.40245800;8.0;102.5;250.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
False;False;True;False;;DeviceLocationProvider;20180614-192936.394;20180614-192936.000;37.78640370;-122.40245800;8.0;102.5;251.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
True;False;True;True;unity;DeviceLocationProvider;20180614-192936.395;20180614-192936.000;37.78640370;-122.40245800;8.0;102.5;251.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
False;False;False;False;;DeviceLocationProvider;20180614-192936.890;20180614-192936.000;37.78640370;-122.40245800;8.0;102.5;255.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
False;False;False;False;;DeviceLocationProvider;20180614-192936.892;20180614-192936.000;37.78640370;-122.40245800;8.0;102.5;252.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
True;False;False;True;unity;DeviceLocationProvider;20180614-192936.895;20180614-192936.000;37.78640370;-122.40245800;8.0;102.5;252.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
False;False;True;False;;DeviceLocationProvider;20180614-192937.390;20180614-192937.000;37.78639600;-122.40245100;8.0;153.4;247.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
False;False;True;False;;DeviceLocationProvider;20180614-192937.392;20180614-192937.000;37.78639600;-122.40245100;8.0;112.0;252.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingAverage;Mapbox.Unity.Location.AngleSmoothingAverage
True;False;True;True;unity;DeviceLocationProvider;20180614-192937.396;20180614-192937.000;37.78639600;-122.40245100;8.0;114.6;252.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingLowPass;Mapbox.Unity.Location.AngleSmoothingLowPass
False;False;False;False;;DeviceLocationProvider;20180614-192937.890;20180614-192937.000;37.78639600;-122.40245100;8.0;153.4;257.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];Mapbox.Unity.Location.AngleSmoothingNoOp;Mapbox.Unity.Location.AngleSmoothingNoOp
